year,country_name,korean_pine,other_forest,non_forest
2014.0,Dem People's Rep of Korea,5042.174639677067,79731.28682507419,37691.75989151421
2014.0,China,13515.34617762302,506763.09619586496,822623.5018576612
2014.0,Japan,68270.30588640405,141866.8270382686,67669.84541290968
2014.0,Russian Federation,241534.08637415234,781370.2664200586,151383.6803490489
2015.0,Republic of Korea,5568.891281894133,57493.137816945564,31094.020136608604
2015.0,Dem People's Rep of Korea,5029.350271162117,79721.95640753846,37713.914677556146
2015.0,China,13545.741240406927,506519.1470191047,822837.055971645
2015.0,Japan,68151.88986744254,141886.59685120764,67768.49161894087
2015.0,Russian Federation,240339.7811584453,780726.2853255377,153221.96665928373
2016.0,Republic of Korea,5548.193870377461,57423.07182391985,31184.7835411503
2016.0,Dem People's Rep of Korea,5014.488596879856,79712.67202368802,37738.060735684274
2016.0,China,13607.544648998148,505624.78033188183,823669.6192503225
2016.0,Japan,68035.89743609898,141873.4812796547,67897.59962182326
2016.0,Russian Federation,239148.57222337078,779081.8221999683,156057.63871992403
2017.0,Republic of Korea,5530.85282565134,57345.997062678565,31279.19934711776
2017.0,Dem People's Rep of Korea,5006.100028762494,79718.28035190636,37740.84097558799
2017.0,China,13672.209826262548,505655.50115987397,823574.2332449963
2017.0,Japan,67905.78363846551,141908.07481405695,67993.1198850549
2017.0,Russian Federation,237669.98703924546,777998.7451135118,158619.30099049123
2018.0,Republic of Korea,5512.189761502675,57294.82991341949,31349.02956052667
2018.0,Dem People's Rep of Korea,4998.589998715033,79706.56587909209,37760.06547847107
2018.0,China,13709.39480777275,504478.53388220957,824714.0155411995
2018.0,Japan,67759.53104025678,141920.86915738691,68126.57813995023
2018.0,Russian Federation,237074.45550648912,777848.5567536199,159365.02088314155
2019.0,Republic of Korea,5494.919072976532,57209.64970520147,31451.480457269685
2019.0,Dem People's Rep of Korea,4992.552889189084,79645.95089234077,37826.71757472677
2019.0,China,13735.405892694593,504489.7871126516,824676.7512258642
2019.0,Japan,67635.17937913272,141876.97858864206,68294.82036980045
2019.0,Russian Federation,236394.1102915367,776920.425323604,160973.49752805813
2020.0,Republic of Korea,5482.387617465597,57150.32267974988,31523.338938232773
2020.0,Dem People's Rep of Korea,4986.9887817294075,79611.94105539222,37866.29151912454
2020.0,China,13737.061017540263,504973.0062125582,824191.8770010507
2020.0,Japan,67513.42959179955,141845.10136352797,68448.44738224827
2020.0,Russian Federation,235348.42943036734,776265.2943807065,162674.30933213688
2021.0,Republic of Korea,5478.216930383813,57108.65814924766,31569.174155816236
2021.0,Dem People's Rep of Korea,4985.887034137164,79658.19112385066,37821.14319826723
2021.0,China,13799.952157310912,505325.71284797235,823776.2792259327
2021.0,Japan,67477.98591259771,141847.56392973044,68481.42849524766
2021.0,Russian Federation,235106.38682510678,777035.1023198206,162146.54399832702
2022.0,Republic of Korea,5479.090255586363,57128.49906603969,31548.45991382166
2022.0,Dem People's Rep of Korea,4987.571971685441,79684.4244335893,37793.22495097128
2022.0,China,13859.287084887666,505520.9194844395,823521.7376618683
2022.0,Japan,67484.36475924356,141907.3145470455,68415.29903128605
2022.0,Russian Federation,235241.6258716662,777186.5751607028,161859.83211086824
